author,count
Jirí Soukup,1
J. Royle,1
George M. Hyman,1
R. E. Powell,1
Fumiya Tada,1
Kiyoshi Yoshimura,1
Takashi Kagata,1
Takeyoshi Shirakawa,1
Edwin B. Hassler Jr.,1
Ikuo Nishioka,1
Takuji Kurimoto,1
Hisao Nishida,1
Seiji Yamamoto,1
Toru Chiba,1
Toshiaki Nagakawa,1
Takatsugu Fujioka,1
Masashi Uchino,1
Charles M. Eastman,1
Thomas Sidle,1
Frank D. Skinner,1
Sartaj Sahni,1
Atul Bhatt,1
Manuel A. d'Abreu,1
Joe Dyer,1
Arijit Laha,1
Ernest J. Moran,1
William D. Smart,1
Glenn W. Cox,1
B. D. Carroll,1
Noboru Okuda,1
Takashi Harada,1
Sadahiro Tani,1
Hiroshi Ozaki,1
Thomas M. McWilliams,1
John B. Macdonald,1
Mary K. Podlecki,1
Milt J. Pappas,1
Carl R. McCaw,1
J. Duane Northcutt,1
Wendell E. Cory,1
William M. van Cleemput,1
Mark G. Karpovsky,1
Stephen Y. H. Su,1
Norbert Giambiasi,1
A. Miara,1
D. Muriach,1
Gregory L. Smith,1
Sharon A. Stephens,1
Leonard L. Tripp,1
Wayne L. Warren,1
H. D. Schnurmann,1
R. M. Peters,1
B. T. David,1
Benjamin Lee,1
E. F. Chelotti,1
D. P. Bossie,1
Ulrich Lauther,1
R. M. Jacobs,1
Michael J. Lorenzetti,1
D. J. Garvin,1
Felix P. Mallmann,1
Arthur H. Altman,1
Alice C. Parker,1
Martin B. Roberts,1
David W. Currier,1
David W. Hightower,1
Robert L. Boyd,1
Jerrier A. Haddad,1
P. Carmody,1
A. M. Barone,1
J. K. Morrell,1
A. Weiner,1
John L. Hennessy,1
Paul Losleben,1
A. Richard Newton,1
Valerie K. Smith,1
Phil A. Preston,1
L. C. Cote,1
John Grason,1
Andrew W. Nagle,1
Edward J. McGrath,1
Telle Whitney,1
Alfred E. Dunlop,1
Samiha Mourad,1
Keith A. Duke,1
Günter Biehl,1
Werner Grass,1
P. S. Hall,1
John A. Darringer,1
William H. Joyner Jr.,1
Dan C. Nash,1
Keith Russell,1
Paul Silverman,1
Mary Thiel,1
Sany M. Leinwand,1
John E. Black,1
Wallace L. Chafe,1
Emanuel A. Schegloff,1
James Davidson,1
S. Jerrold Kaplan,1
Yigal Arens,1
Barbara J. Grosz,1
John Carey,1
Larry R. Harris,1
Charlotte Linde,1
Annette Herskovits,1
Jerry R. Hobbs,1
Nicholas J. Belkin,1
B. G. Michell,1
D. G. Kuehner,1
David L. Waltz,1
Sharon C. Salveter,1
Murray Turoff,1
Starr Roxanne Hiltz,1
Kenneth Johnson,1
Ann Marie Rabke,1
A. Michael Noll,1
Kenneth C. Litkowski,1
Jonathan Slocum,1
Deborah Tannen,1
Philip R. Cohen,1
R. C. Woods,1
Jon M. Slack,1
Robert C. Berwick,1
Mark S. Seidenberg,1
Michael K. Tanenhaus,1
Robert H. Thibadeau,1
Marcel Adam Just,1
Patricia Carpenter,1
Kenneth Ward Church,1
John C. Thomas,1
Marsden S. Blois,1
David D. Sherertz,1
Mark S. Tuttle,1
William A. Martin,1
George V. Mouradian,1
Giacomo Ferrari,1
Oliviero Stock,1
Leon S. Levy,1
David D. McDonald,1
Eleanor Wynn,1
Robert F. Simmons,1
Catriel Beeri,1
Moshe Y. Vardi,1
Henry F. Korth,1
Marc H. Graham,1
David Maier,1
Edward Sciore,1
Jack Heller,1
Barry E. Jacobs,1
Hans Meijer,1
Martin R. Raskovsky,1
Philip A. Collier,1
Ole Lehrmann Madsen,1
Frank DeRemer,1
Richard Jüllig,1
David A. Watt,1
John C. Reynolds,1
Martti Tienari,1
Véronique Donzeau-Gouge,1
Gilles Kahn,1
Bernard Lang,1
C. Michael Madsen,1
Marie-Claude Gaudel,1
Harald Ganzinger,1
Pearl Y. Wang,1
Manfred Schnitzler,1
Gottfried Tinhofer,1
Arnold L. Rosenberg,1
Oliver Vornberger,1
Horst W. Hamacher,1
Kurt-Ulrich Witt,1
Peter Brucker,1
Peter Läuchli,1
Hermann A. Maurer,1
Jürgen Ebert,1
Jürgen Perl,1
Gunther Schmidt,1
